#Complex ac	Recommended name	Aliases for complex	Taxonomy identifier	Identifiers (and stoichiometry) of molecules in complex	Evidence Code	Experimental evidence	Go Annotations	Cross references	Description	Complex properties	Complex assembly	Ligand	Disease	Agonist	Antagonist	Comment	Source	Expanded participant list	Species	parsed	has_nonprot_entity	has_unknown_stoich	protein_entries	N_subunits	N_unique_proteins	overlaps
CPX-3250	SCF-Dia2 ubiquitin ligase complex	-	559292	P14682(1)|P52286(1)|Q08273(1)|Q08496(1)|Q12018(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0031509(subtelomeric heterochromatin assembly)|GO:0019005(SCF ubiquitin ligase complex)|GO:0061630(ubiquitin protein ligase activity)|GO:0006511(ubiquitin-dependent protein catabolic process)|GO:0031573(intra-S DNA damage checkpoint)|GO:0030466(chromatin silencing at silent mating-type cassette)	qsproteome:QS174135(identity)|pubmed:22844255(see-also)|pubmed:21701592(see-also)|pubmed:23172854(see-also)|pubmed:15571813(see-also)|pubmed:15688063(see-also)|intenz:6.3.2.19(identity)|pubmed:14747994(see-also)|complex portal:CPX-3250(complex-primary)	SCF-Dia2 is a member of the SCF (Skp1-Cullin-F-box) E3 ubiquitin ligase family, in which the F-box protein, Dia2, forms the substrate recognition subunit. The complex may form a homodimer. SCF-Dia2 is involved in a number of cellular processes: it has been associated with replication stress response and is considered part of the replisome progression complex responsible for fork stability. CSF-Dia2 has also been linked to part of the intra-S phase DNA damage checkpoint. It is also involved in transcriptional silencing at telomeres and mating type loci, as well as regulating transcription by mediating assembly of the RSC complex. It is required for the degradation of Cdc6 in G1.	-	Heteropentamer	-	-	-	-	-	psi-mi:""MI:0484""(Saccharomyces Genome Database)	P14682(1)|P52286(1)|Q08273(1)|Q08496(1)|Q12018(1)	S. cerevisiae		FALSE	FALSE		5	5	NA
CPX-1898	CBF3 complex	centromere DNA-binding protein complex CBF3|CBF3A-CBF3B-CBF3C-SKP1 complex	559292	P32504(2)|P35203(1)|P40969(2)|P52286(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-21452579	GO:0031518(CBF3 complex)|GO:0019237(centromeric DNA binding)|GO:0051382(kinetochore assembly)|GO:0000776(kinetochore)	qsproteome:QS184293(identity)|pubmed:14570580(see-also)|wwpdb:6gyu(identity)|emdb:EMD-0097(identity)|pubmed:30478265(see-also)|wwpdb:6F07(subset)|complex portal:CPX-1898(complex-primary)	Binds to the CDEIII DNA element, conserved between all yeast chromosomes, early in kinetochore assembly and acts as the the primary determinant of assembly. Binding of the CBF3 complex and presence of the unique N-terminal tails of the two CSE4 (P36012) molecules in the nucleosome could cooperate to induce a sharp bending of the centromeric DNA, thus creating a C-loop structure in which the CSE4 nucleosome is proximal to the plus end of the kinetochore. Alternatively, CSE4-nucleosomes are part of the highly phased array of nucleosomes on either side of the CEN-sequence, while CFB3 occupies CDEIII and additional Ndc10 molecules occupy the CDEII sites to form an extended binding platform. microtubule	In the presence of cen3 DNA,a dimeric CBF3−cen3 complex in which two CBF3 complexes, bridged by a central CBF2 dimer, are bound to a single cen3 DNA duplex	Heterohexamer	-	-	-	-	-	psi-mi:""MI:0469""(IntAct)	P32504(2)|P35203(1)|P40969(2)|P52286(1)	S. cerevisiae		FALSE	FALSE		6	4	NA
CPX-2331	MON1-CCZ1 guanyl-nucleotide exchange factor complex	-	7227	Q9VR38(1)|Q9VRX1(1)|Q9VZL5(1)	ECO:0000353(physical interaction evidence used in manual assertion)	wwpdb:8c7g	GO:0035658(Mon1-Ccz1 complex)|GO:0032511(late endosome to vacuole transport via multivesicular body sorting pathway)|GO:0005085(guanyl-nucleotide exchange factor activity)	pubmed:23418349(see-also)|flybase:FBgg0000153(identity)|qsproteome:QS190925(identity)|emdb:EMD-16457(identity)|pubmed:37155863(see-also)|pubmed:32499409(see-also)|pubmed:37216550(see-also)|complex portal:CPX-2331(complex-primary)	Guanyl-nucleotide exchange factor complex with a critical role in maintaining proper vacuole morphology in vacuole delivery pathways by regulating fusion of vesicles with the vacuole at the tethering/docking stage. The complex is activated by membrane-bound Rab5 (Q9V3I2) to facilitate nucleotide exchange of Rab7 (O76742) on membranes. Bulli appears to extend the ability of Mon1-Ccz1 to coordinate the Rab5 to Rab7 transition at endosomes potentially by may providing a docking platform for additional regulators of endosomal trafficking.	Bulli binds as a L-shaped extension at the periphery of the Mon1 and Ccz1 heterodimers, and does not impact the activity of the complex or the interactions with recruiter and substrate GTPases. 	Heterotrimer	-	-	-	-	-	psi-mi:""MI:0469""(IntAct)	Q9VR38(1)|Q9VRX1(1)|Q9VZL5(1)	D. melanogaster		FALSE	FALSE		3	3	NA
CPX-26529	Septin4-Septin5-pnut complex	-	7227	P40797(2)|Q0KHR7(2)|Q7KLG8(2)	ECO:0005546(biological system reconstruction evidence based on paralogy evidence used in manual assertion)	-	GO:0000281(mitotic cytokinesis)|GO:0031105(septin complex)|GO:0005940(septin ring)|GO:0042461(photoreceptor cell development)	pubmed:40171709(see-also)|pubmed:36576069(see-also)|complex portal:CPX-26529(complex-primary)|complex portal:CPX-26526(inferred-from)|flybase:FBgg0002069(identity)	Complex regulates actomyosin ring assembly, contraction and disassembly during cell wound repair, playing a key role in preventing cell damage and death during physiological and environmental stresses. Interacts with F-actin and promotes its bundling and bending. Anillin (Q9V4P1) regulates formation and function of the Septin1-Septin2-pnut complex (CPX-26526) but not the Septin4-Septin5-pnut complex (this complex).	The Septin1-Septin2-pnut complex consists of corresponding components from the same two Septin groups as the Septin4-Septin5-pnut complex. However, the two differ in their degree of F-actin bending activities with this complex able to direct a higher curvuture of actin filaments, enabling differential regulation of actin dynamics. Septin organisation is controlled and canonical hetero-hexamer Septin complexes is thought to be required for the generation of curved actin filaments.	Heterohexamer	-	-	-	-	-	psi-mi:""MI:0469""(IntAct)	P40797(2)|Q0KHR7(2)|Q7KLG8(2)	D. melanogaster		FALSE	FALSE		6	3	NA
CPX-1087	YoeB-YefM toxin-antitoxin complex	YoeB-YefM TA complex|YoeB-YefM toxin/antitoxin complex	83333	P69346(2)|P69348(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-9194507	GO:0006355(regulation of transcription, DNA-templated)|GO:0040008(regulation of growth)|GO:0110001(toxin-antitoxin complex)|GO:0043565(sequence-specific DNA binding)	qsproteome:QS178061(identity)|wwpdb:2a6q(identity)|pubmed:16109374(see-also)|pubmed:24561554(see-also)|complex portal:CPX-1087(complex-primary)	Type II toxin-antitoxin (TA) system formed by the toxin (yoeB), and the antitoxin (yefM). TA systems act as effectors of dormancy and persistence, with the toxin causing growth arrest by interfering with a vital cellular process, such as transcription, translation or DNA replication, and the cognate antitoxin neutralizing the toxin activity during normal growth conditions. yoeB has translation-dependent mRNA degradation activity and preferentially cleaves at 3-prime ends of purine-rich ribonucleotides. Under conditions of stress the antitoxins are selectively degraded by cellular proteases such as Lon (P0A9M0) and ClpXP (CPX-3176), leaving the toxins to exert their effectsl which result in growth arrest and cell dormancy. Both the antitoxin and, in most cases, the TA complex bind the TA promoter to repress transcription, with TA complexes repressing transcription more efficiently than the antitoxins alone by increasing the co-operativity of antitoxin binding to operators.	MW ~30 kDa. Elongated shape with dimensions ~60 x 35 x 35 A. Solvent accessible buried surface area: 3300 A^2. May also form as YoeB(2):YefM(1) conformation. 	Heterotrimer	-	-	-	-	-	psi-mi:""MI:2228""(ceitec)	P69346(2)|P69348(1)	E. coli		FALSE	FALSE		3	2	NA
CPX-2151	UvrAB DNA damage sensor complex	UvrAB DNA damage recognition complex|UvrAB nucleotide-excision repair, preincision complex|UvrA-UvrB complex|UvrA-UvrB heterotetramer	83333	P0A698(2)|P0A8F8(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-15528674	GO:0000715(nucleotide-excision repair, DNA damage recognition)|GO:0005524(ATP binding)|GO:0016887(ATPase activity)|GO:0009380(excinuclease repair complex)|GO:0003684(damaged DNA binding)|GO:0006289(nucleotide-excision repair)	qsproteome:QS170421(identity)|pubmed:2546148(see-also)|pubmed:33477956(see-also)|complex portal:CPX-2151(complex-primary)	Part of the UvrABC repair system that catalyzes the recognition and processing of DNA lesions. It scans the DNA for abnormalities. Upon binding of the UvrAB complex to a putative damaged site, the DNA wraps around one of the uvrB subunits. uvrB then probes one DNA strand for the presence of a lesion. If a lesion is found the UvrA subunits dissociate and the UvrB-DNA preincision complex (CPX-2152) is formed. This complex is subsequently bound by uvrC (P0A8G0) and one of the uvrB monomers is released (CPX-2153). If no lesion is found, the DNA wraps around the other uvrB subunit that will check the other stand for damage. ATP hydrolysis may initiate dissociation of uvrB from the DNA, possibly because no lesion is found. The recruitment process of the uvrAB complex to the DNA remains unknown. A uvrA dimer exists in vitro but it is uncertain if it also exists in vivo as uvrA is sequestered to the DNA by Mfd (CPX-2155).	The uvrA surface that binds DNA may interconvert between a relatively open shaped dimer compatible with the widely varying conformations of damaged DNA to a closed groove that appears solely compatible with native DNA. The C-terminal end of uvrB is crucial for dimer stability but not for DNA binding. DNA wrapping around the uvrB subunit is dependent on ATP binding by uvrB and probably causes local melting of the DNA helix, facilitating insertion of a uvrB beta-hairpin between the DNA strands.	Heterotetramer	-	-	-	-	-	psi-mi:""MI:0469""(IntAct)	P0A698(2)|P0A8F8(2)	E. coli		FALSE	FALSE		4	2	NA
CPX-4317	Branched chain amino acid, leucine-specific ABC transporter complex	LIV-I system complex	83333	P04816(1)|P0A9S7(1)|P0AEX7(1)|P22729(1)|P22731(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0016887(ATPase activity)|GO:0005524(ATP binding)|GO:0015658(branched-chain amino acid transmembrane transporter activity)|GO:0015803(branched-chain amino acid transport)|GO:0015823(phenylalanine transport)|GO:0055052(ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing)|GO:0016020(membrane)	qsproteome:QS49341(identity)|intenz:3.6.3(identity)|pubmed:14702302(see-also)|pubmed:2195019(see-also)|complex portal:CPX-4317(complex-primary)|pubmed:18634750(see-also)|pubmed:14672931(see-also)	High-affinity branched-chain amino acid transport system, catalysing the uptake of the branched chain amino acids, such as L-leucine and the non-polar, aromatic amino acid, phenylalanine. Amino acids such as isoleucine and valine are not thought to bind with appreciable affinity. Member of the ATP-binding cassette (ABC) superfamily of transporters, prokaryote-type (PK-type) subfamily.	ATP-binding cassette (ABC) transporters are integral membrane proteins that actively transport molecules across the lipid membrane against a concentration gradient, using the energy derived from the hydrolysis of ATP. ABC transporters are composed of two transmembrane domains (TMDs) which are the integral membrane proteins and two nucleotide binding domain (NBDs) proteins associated with the TMDs on one side of the membrane. The TMDs form the transport channel and consist of several membrane-spanning alpha-helices. The NBDs bind and hydrolyse ATP. ATP binding induces conformational changes in the NBDs, forcing them into closer contact and forming the characteristic nucleotide sandwich dimer. This then causes a conformational change in the TMDs which results in the opening of the transport channel. The PK-type ABC transporters are importers that require additional periplasmic binding proteins to recruit substrates from the extracellular space and deliver them to the core transporter. Typically each component in PK-type ABC transporters is a separate protein, arising from an individual gene in an operon coding for the complete transporter.	Heteropentamer	L-Leucine (CHEBI:15603)|L-phenylalanine (CHEBI:17295)	-	-	-	-	psi-mi:""MI:0486""(UniProt)	P04816(1)|P0A9S7(1)|P0AEX7(1)|P22729(1)|P22731(1)	E. coli		FALSE	FALSE		5	5	NA
CPX-5884	Flagellar motor stator complex	-	83333	P09348(4)|P0AF06(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-25639538	GO:1902600(proton transmembrane transport)|GO:0009288(bacterial-type flagellum)|GO:0120101(bacterial-type flagellum stator complex)|GO:0071973(bacterial-type flagellum-dependent cell motility)|GO:0006935(chemotaxis)	qsproteome:QS181615(identity)|pubmed:4895809(see-also)|pubmed:31337100(see-also)|pubmed:29235079(see-also)|pubmed:26056313(see-also)|complex portal:CPX-5884(complex-primary)	Transmembrane unit of the flagellar motor which conducts protons and exerts force on the rotor. Each core rotor complex (CPX-1082/CPX-1085) is typically surrounded by 10 stator complexes, each of which can independently produce torque for flagellar rotation.	Leu-46 of motB acts as the gate for hydronium ion permeation and appears to mediate the proton transfer to the carboxyl group of Asp-32 of motB. The protonation/deprotonation motB cycle induces a ratchet motion in the stator, which couples to motor rotation. Arg-90 and Glu-98 on the motA cytoplasmic domain interact with the polar residues on the rotor protein, fliG (P0ABZ1), during the rotation of the motor. Torque generation may be due to conformational changes of the motA cytoplasmic domain driven by motB proton association/dissociation.	Heterohexamer	-	-	-	-	-	psi-mi:""MI:0486""(UniProt)	P09348(4)|P0AF06(2)	E. coli		FALSE	FALSE		6	2	NA
CPX-1208	Kinesin II motor complex	-	6239	G5EEE6(1)|Q19633(1)|Q965T6(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0016939(kinesin II complex)|GO:0035720(intraciliary anterograde transport)|GO:0007018(microtubule-based movement)|GO:0008017(microtubule binding)	qsproteome:QS134040(identity)|pubmed:21917588(see-also)|pubmed:20498083(see-also)|pubmed:20833139(see-also)|complex portal:CPX-1208(complex-primary)	Motor complex required for intraflagellar transport (IFT) responsible for the formation and maintenance of the cilia. Together with the kinesin motor protein osm-3, the complex moves along microtubules and is required for anterograde IFT along the middle segment of the sensory neuron cilia.	Interacts (via C-terminus) with klp-11 (via C-terminus) to form a heterodimer. Furthermore, the C-terminals of klp-20 and klp-11 interact to form of a coiled coil (stalk), and this interaction is necessary for association with kap-1, and kinesin II motor complex activity. It is unclear if the klp-11/klp-20 dimer exists in vivo or whether it is always in complex with kap-1. Molecular mass is approximately 287kDa.	Heterotrimer	-	-	-	-	-	psi-mi:""MI:0486""(UniProt)	G5EEE6(1)|Q19633(1)|Q965T6(1)	C. elegans		FALSE	FALSE		3	3	FALSE
CPX-3147	PYM-mago-Y14 complex	PYM-mago-RBM8A complex|wibg-mago-Y14 complex|PYM-mago nashi-RNA-binding protein 8A complex	7227	P49028(1)|P82804(1)|Q9V535(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-1038052	GO:1990448(exon-exon junction complex binding)|GO:2000624(positive regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay)|GO:1990509(PYM-mago-Y14 complex)|GO:0043243(positive regulation of protein complex disassembly)|GO:0005829(cytosol)|GO:0051170(nuclear import)	qsproteome:QS199689(identity)|wwpdb:1RK8(identity)|pubmed:19410547(see-also)|complex portal:CPX-3147(complex-primary)	A cytoplasmic protein complex that activates the disassembly of the mago-Y14 (mago-tsu) complex (CPX-3100) from the spliced mRNA during first round of translation, disassembling the exon-exon junction complex independently of the translational machinery. The mago-Y14 complex shuttles between the nucleus, where it is loaded onto specific mRNAs, and the cytoplasm and functions in translational regulation. 	Complex formation occurs through a conserved interaction surface between PYM and the mago-Y14 heterodimer (CPX-3100). PYM binds at a surface formed by both mago and Y14. The interaction is through its N-terminal domain 58 residues, that bind as a small globular all-beta-domain to both mago and Y14, capping their heterodimerization interface. It binds at the alpha-helices of mago with extensive electrostatic interactions and at the beta2-beta3 loop of Y14 with hydrophobic interactions.	Heterotrimer	-	-	-	-	-	psi-mi:""MI:0469""(IntAct)	P49028(1)|P82804(1)|Q9V535(1)	D. melanogaster		FALSE	FALSE		3	3	FALSE
CPX-2369	Nuclear origin recognition complex	Nuclear origin of replication recognition complex|ORC	7227	O16810(1)|Q24168(1)|Q24169(1)|Q7K2L1(1)|Q9W102(1)|Q9Y1B2(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-16148892	GO:0003688(DNA replication origin binding)|GO:0005634(nucleus)|GO:0005664(nuclear origin of replication recognition complex)|GO:0006270(DNA replication initiation)|GO:0016887(ATP hydrolysis activity)	flybase:FBgg0000510(identity)|pubmed:24137536(see-also)|pubmed:25762138(see-also)|qsproteome:QS189355(identity)|wwpdb:4XGC(identity)|complex portal:CPX-2369(complex-primary)	Binds and encircles origins of replication. DNA-binding is ATP-dependent, however specific DNA sequences that define origins of replication have not yet been identified. ORC recruits cdc6 (Q9VSM9) and dup/cdt1 (Q7JVY2) to promote the loading of the MCM2-7 mini-chromosome maintenance complex (CPX-2942) onto chromatin to form the pre-replication complex necessary to initiate DNA replication. ORC is dynamically assembled and disassembled during the cell cycle. The complex is formed in an ATP-dependent manner at the exit from anaphase of mitosis and the complex binds to chromatin in an ORC1-dependent manner. ORC is disassembled in S phase, either by degradation of ORC1 or by a process involving ATP hydrolysis in the complex. ORC1 is thought to be regenerated and to cooperate with ORC4 to initiate a new cycle of pre-RC formation.	The initiator core complex comprises a two-layered notched ring in which a collar of winged-helix domains from the Orc1-5 subunits sits atop a layer of AAA+ ATPase folds.	Heterohexamer	-	-	-	-	-	psi-mi:""MI:0469""(IntAct)	O16810(1)|Q24168(1)|Q24169(1)|Q7K2L1(1)|Q9W102(1)|Q9Y1B2(1)	D. melanogaster		FALSE	FALSE		6	6	FALSE
